District,Year,Crop,Season,Area_ha,Avg_Temperature_C,Total_Rainfall_mm,Humidity_pct,Soil_Type,Soil_pH,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,Irrigation_pct,Yield
YAVATMAL,2018,Sugarcane,Whole Year,789.3,27.54,1153.7,51.88,Sandy Loam,6.93,114.4,37.4,47.9,36.7,93.5376
NANDED,2005,Sugarcane,Whole Year,2318.67,27.86,584.7,45.74,Clay Loam,7.4,112.0,42.3,39.2,22.7,80.2148
YAVATMAL,2006,Onion,Kharif,4040.36,25.94,1122.8,60.1,Clay,7.28,113.8,45.4,46.9,16.4,18.1092
OSMANABAD,2021,Cotton(lint),Kharif,2448.12,28.62,707.4,36.91,Clay,7.73,115.3,30.8,29.3,11.9,0.8648
GONDIA,2015,Sugarcane,Whole Year,425.0,28.95,904.9,63.86,Sandy Loam,6.94,99.4,45.1,17.7,31.6,94.7385
DHULE,2021,Wheat,Rabi,81.3,28.97,463.1,51.0,Loam,6.71,106.0,49.3,51.3,20.6,2.5836
SATARA,2023,Bajra,Kharif,5932.71,26.65,1073.5,68.62,Clay,6.04,106.4,38.7,40.6,48.4,1.9311
KOLHAPUR,2024,Sugarcane,Whole Year,2441.07,23.26,705.4,56.5,Clay,6.44,95.9,57.0,26.0,54.2,98.3993
LATUR,2020,Jowar,Kharif,3065.09,27.69,648.7,52.61,Clay,7.86,97.2,33.7,40.9,23.6,2.4453
WARDHA,2019,Wheat,Rabi,4943.31,30.33,905.2,55.31,Clay,6.8,89.8,36.5,18.5,39.0,2.4922
HINGOLI,2012,Sugarcane,Whole Year,1963.07,27.43,416.6,40.64,Clay Loam,7.44,108.3,42.7,53.1,10.8,81.0787
DHULE,2000,Bajra,Kharif,207.63,26.63,685.4,66.04,Clay Loam,6.68,126.0,45.1,45.4,39.9,1.8428
BHANDARA,2002,Gram,Rabi,748.35,27.37,690.6,58.25,Clay,7.14,101.2,44.4,26.6,26.7,1.0749
PUNE,2015,Soyabean,Kharif,4370.19,25.94,767.1,61.8,Loam,6.46,133.7,31.2,33.7,54.2,2.3181
AMRAVATI,2011,Sugarcane,Whole Year,805.47,27.47,854.7,44.47,Sandy Loam,7.23,120.0,40.7,22.4,26.2,92.0566
SATARA,2001,Gram,Rabi,115.0,26.24,673.4,58.96,Clay,6.34,88.3,42.0,20.9,68.3,1.0084
SINDHUDURG,2014,Gram,Rabi,127.63,27.49,2369.9,75.9,Sandy Loam,4.84,85.0,27.8,46.7,32.0,1.1037
JALNA,2004,Onion,Kharif,288.78,27.9,639.5,33.09,Clay Loam,7.63,76.5,49.3,29.3,14.6,18.0864
PALGHAR,2018,Wheat,Rabi,673.23,27.39,2380.8,76.74,Laterite,5.09,91.5,28.7,28.7,32.0,2.5756
YAVATMAL,2011,Groundnut,Kharif,196.79,28.8,1210.3,49.92,Loam,5.99,93.9,29.3,16.2,25.3,1.8551
JALNA,2023,Gram,Rabi,3565.76,29.0,824.7,52.52,Clay,7.92,93.2,25.6,38.0,23.1,1.1348
NASHIK,2010,Wheat,Rabi,1837.91,28.32,709.6,59.99,Clay,8.09,113.6,39.2,39.2,25.2,2.665
NASHIK,2003,Sugarcane,Whole Year,3997.48,26.27,875.4,48.91,Clay Loam,7.61,137.6,54.6,42.1,22.7,83.6881
PALGHAR,2017,Cotton(lint),Kharif,19075.1,28.93,1979.5,76.81,Sandy Loam,5.33,106.6,19.3,53.4,28.1,0.8851
NANDURBAR,2015,Soyabean,Kharif,11149.01,28.6,586.6,51.72,Clay Loam,7.46,81.3,51.0,47.2,10.0,2.359
RAIGAD,2008,Wheat,Rabi,999.77,29.69,2586.0,88.66,Laterite,6.24,79.5,24.9,46.8,18.6,2.1965
BHANDARA,2011,Cotton(lint),Kharif,2967.05,30.93,958.1,52.74,Clay,7.74,97.1,39.6,55.0,29.4,0.9
AHMEDNAGAR,2014,Rice,Kharif,14257.41,25.19,569.4,51.61,Clay Loam,6.73,103.0,41.0,44.3,37.0,4.254
AMRAVATI,2008,Cotton(lint),Kharif,149.91,28.2,680.5,55.54,Loam,7.2,72.7,37.6,27.6,29.1,0.6458
CHANDRAPUR,2016,Rice,Kharif,46453.14,28.95,625.6,58.74,Clay,7.28,126.8,41.3,26.3,19.5,3.9881
NANDURBAR,2010,Bajra,Kharif,2002.94,27.44,926.9,47.53,Clay Loam,7.45,114.6,47.5,40.6,36.4,1.821
NANDED,2000,Soyabean,Kharif,286.72,29.21,318.5,51.85,Clay,7.07,100.1,34.0,36.1,14.2,1.5205
JALNA,2006,Gram,Rabi,304.75,30.03,715.5,58.89,Clay Loam,7.73,121.1,30.7,40.8,18.0,1.237
NASHIK,2024,Groundnut,Kharif,15850.7,23.98,557.3,48.33,Clay Loam,7.15,112.0,46.3,39.9,38.6,1.7687
SATARA,2009,Jowar,Kharif,19002.99,26.72,765.7,64.13,Clay,6.6,85.2,60.0,46.8,43.3,2.3265
SOLAPUR,2017,Gram,Rabi,11612.23,25.86,1075.3,56.97,Clay Loam,7.23,100.1,54.4,55.0,13.9,1.4117
GONDIA,2010,Gram,Rabi,505.56,29.49,922.4,56.93,Clay,7.19,124.5,51.4,49.1,18.7,1.2323
AHMEDNAGAR,2024,Sugarcane,Whole Year,18503.62,27.84,609.8,49.71,Clay,7.27,91.0,51.8,52.5,29.0,101.8787
PUNE,2006,Soyabean,Kharif,117735.45,27.77,679.3,71.38,Clay,6.14,129.6,48.3,39.5,54.7,2.4407
RAIGAD,2015,Rice,Kharif,3379.49,26.88,1589.9,84.0,Sandy Loam,4.73,87.8,17.7,38.2,18.5,4.9518
SINDHUDURG,2012,Cotton(lint),Kharif,58677.53,25.45,2464.4,82.2,Clay Loam,5.81,70.0,30.2,35.6,31.4,0.6624
SOLAPUR,2015,Sugarcane,Whole Year,54118.54,23.42,722.0,62.72,Clay Loam,7.14,73.0,52.1,38.7,51.8,98.3602
GONDIA,2010,Jowar,Rabi,43055.5,30.9,929.4,69.78,Clay,6.56,82.1,37.8,36.4,19.8,2.3677
PARBHANI,2006,Rice,Kharif,7709.11,26.14,597.5,59.34,Clay,7.97,95.2,35.5,33.8,21.2,3.3722
MUMBAI,2020,Sugarcane,Whole Year,1758.92,26.15,2123.4,86.5,Sandy Loam,5.62,68.8,23.6,27.8,31.8,89.588
HINGOLI,2019,Sugarcane,Whole Year,1939.44,29.79,312.9,53.91,Clay,7.36,86.1,35.3,40.6,13.1,90.0295
PUNE,2016,Wheat,Rabi,19609.41,26.21,351.8,58.19,Clay,6.73,104.7,46.4,46.9,38.2,2.214
KOLHAPUR,2008,Soyabean,Kharif,96192.97,25.99,1164.3,57.97,Clay,6.96,99.2,41.9,29.4,44.6,2.3964
PARBHANI,2015,Jowar,Rabi,12693.35,26.91,317.7,42.94,Clay,7.47,104.3,47.3,49.1,24.6,2.4544
NAGPUR,2003,Wheat,Rabi,404.07,26.49,1035.7,50.23,Sandy Loam,6.22,97.1,21.8,41.8,10.3,2.1989
WASHIM,2022,Rice,Kharif,11404.31,25.92,1059.5,62.62,Loam,6.6,106.8,29.8,36.2,28.2,4.4892
BULDHANA,2008,Bajra,Kharif,16848.52,29.5,1051.1,53.82,Loam,7.52,110.1,36.4,19.8,14.3,1.6558
OSMANABAD,2000,Cotton(lint),Kharif,13356.37,29.61,408.7,59.43,Clay,7.37,92.2,48.3,40.3,23.3,0.5593
WASHIM,2014,Groundnut,Kharif,9230.51,31.16,691.5,57.75,Clay,6.34,119.8,36.5,39.8,29.7,2.0773
OSMANABAD,2012,Groundnut,Kharif,278.01,29.35,531.4,39.39,Clay Loam,7.7,89.6,39.6,42.4,20.2,1.4974
GONDIA,2017,Gram,Rabi,4338.35,26.16,794.7,55.98,Loam,6.81,90.7,40.9,36.0,31.6,1.1397
WASHIM,2013,Sugarcane,Whole Year,11682.07,28.08,1165.6,62.53,Clay,6.66,128.5,27.8,35.1,30.9,110.4458
PARBHANI,2008,Gram,Rabi,30380.77,27.36,642.0,40.66,Clay,7.95,113.1,50.1,34.4,11.7,0.9397
BEED,2023,Gram,Rabi,53.67,27.63,716.3,49.78,Clay Loam,7.52,89.7,35.2,37.4,17.5,1.1894
AKOLA,2012,Gram,Rabi,231.89,30.51,1147.4,55.85,Loam,7.35,117.5,38.3,25.5,28.6,1.3886
NAGPUR,2023,Jowar,Kharif,347.39,30.3,1216.1,58.92,Loam,6.44,80.3,42.6,35.1,24.4,2.9015
CHANDRAPUR,2014,Bajra,Kharif,99.23,27.91,841.4,51.16,Sandy Loam,5.77,98.9,43.8,33.2,13.9,1.8256
JALGAON,2010,Sugarcane,Whole Year,15330.24,28.82,608.3,53.66,Clay,7.09,132.2,48.1,37.8,42.6,87.9143
HINGOLI,2017,Cotton(lint),Kharif,46499.72,29.84,482.0,56.13,Clay,7.7,103.8,33.1,43.2,16.0,0.776
JALNA,2006,Soyabean,Kharif,67734.44,27.26,510.4,46.62,Clay,7.46,93.2,43.6,39.1,18.4,2.1089
KOLHAPUR,2006,Gram,Rabi,19499.37,24.47,573.9,63.81,Loam,6.77,98.3,33.5,52.5,31.3,1.3311
PALGHAR,2006,Onion,Rabi,26.28,25.42,2329.6,82.24,Laterite,5.69,69.6,21.5,47.9,10.0,15.8644
WARDHA,2008,Soyabean,Kharif,1234.22,26.27,988.6,64.39,Loam,7.58,121.3,50.3,55.0,14.7,2.4994
RAIGAD,2021,Sugarcane,Whole Year,496.02,27.39,1875.0,89.41,Sandy Loam,5.32,55.1,13.2,43.8,30.5,111.1433
JALGAON,2009,Bajra,Kharif,54.07,27.08,708.3,48.22,Clay,7.35,79.1,43.5,38.1,18.0,1.4888
JALNA,2023,Soyabean,Kharif,13291.58,28.0,698.8,58.65,Clay,7.27,97.5,40.8,43.1,21.0,2.3255
NANDED,2012,Jowar,Rabi,638.67,31.32,640.0,40.78,Clay Loam,7.78,118.9,34.2,55.0,19.1,2.407
WARDHA,2022,Onion,Kharif,2383.8,28.04,1172.4,55.08,Loam,6.5,104.5,36.1,30.0,10.0,20.6651
KOLHAPUR,2022,Wheat,Rabi,17414.72,23.55,820.4,59.16,Loam,6.93,95.1,46.0,41.7,45.1,3.1941
PALGHAR,2022,Cotton(lint),Kharif,26652.64,30.64,1597.9,86.33,Sandy Loam,4.86,78.5,23.5,35.0,33.4,0.9
NANDED,2017,Onion,Rabi,377.17,30.35,366.8,44.09,Clay,7.2,84.6,39.9,34.5,27.8,15.7575
BHANDARA,2016,Sugarcane,Whole Year,11977.96,27.49,229.5,71.93,Loam,6.17,110.3,36.6,41.6,24.9,89.02
JALGAON,2024,Onion,Rabi,30.11,26.68,716.2,59.75,Clay,6.82,112.1,56.0,43.3,26.4,18.5221
SANGLI,2012,Bajra,Kharif,1462.26,26.69,634.0,69.44,Loam,6.44,139.2,43.7,53.2,47.4,2.097
DHULE,2002,Sugarcane,Whole Year,45337.99,26.63,666.5,52.76,Clay Loam,7.62,101.6,35.9,28.5,38.8,72.4245
HINGOLI,2018,Gram,Rabi,1449.91,26.21,622.7,38.21,Clay,7.74,124.5,41.2,40.3,24.1,1.3873
DHULE,2006,Onion,Rabi,4969.27,24.58,628.1,70.59,Clay Loam,6.5,106.7,46.1,35.9,31.1,20.4762
NASHIK,2010,Bajra,Kharif,18957.03,26.21,606.9,47.28,Clay,7.37,129.0,45.5,26.3,18.2,1.7313
AHMEDNAGAR,2023,Onion,Kharif,36.14,28.19,414.1,58.06,Clay,6.75,126.5,57.1,41.0,38.8,23.579
SINDHUDURG,2002,Gram,Rabi,145.69,27.11,2634.2,74.1,Clay Loam,5.63,76.2,22.5,35.2,10.0,0.962
SANGLI,2008,Rice,Kharif,242.25,26.86,647.4,59.25,Loam,7.1,125.5,40.9,41.3,55.1,4.558
JALNA,2021,Wheat,Rabi,1121.22,31.91,546.1,42.54,Clay Loam,8.15,103.8,32.6,45.6,21.8,2.1838
AKOLA,2009,Jowar,Kharif,353.76,26.38,882.3,61.68,Clay,6.56,48.7,55.6,47.7,10.0,2.1083
PARBHANI,2012,Onion,Kharif,609.23,26.97,447.5,53.89,Clay,7.95,82.7,20.6,39.4,10.0,15.4073
THANE,2004,Jowar,Rabi,29111.54,26.56,3028.5,79.44,Sandy Loam,5.63,93.0,30.2,34.4,21.4,2.9308
NAGPUR,2004,Jowar,Rabi,326.29,27.32,1227.3,53.23,Loam,6.44,113.6,43.1,45.0,25.3,2.6259
AKOLA,2010,Bajra,Kharif,1833.58,29.49,969.8,66.21,Sandy Loam,7.25,111.6,39.1,39.0,39.9,1.8872
BULDHANA,2002,Soyabean,Kharif,5110.62,26.64,1499.7,69.72,Sandy Loam,7.02,118.5,38.2,8.0,17.4,2.3721
PALGHAR,2001,Bajra,Kharif,509.72,25.17,1480.4,72.74,Clay Loam,5.44,101.7,29.1,40.0,39.3,1.7835
NASHIK,2021,Cotton(lint),Kharif,4848.59,25.41,484.7,66.3,Clay,7.18,117.7,43.0,55.0,31.2,0.8699
SINDHUDURG,2021,Soyabean,Kharif,960.79,26.43,2664.9,80.71,Laterite,5.43,85.2,19.6,23.3,16.6,2.8885
DHULE,2003,Jowar,Rabi,76451.79,28.4,324.3,55.72,Clay,6.8,110.9,48.5,38.1,30.6,2.3183
SATARA,2023,Gram,Rabi,411.93,23.93,860.8,59.39,Loam,6.85,105.1,47.9,45.0,36.3,1.3204
NANDURBAR,2007,Gram,Rabi,1050.98,26.96,734.4,52.37,Clay Loam,7.72,111.7,54.7,51.4,28.2,1.1449
YAVATMAL,2005,Soyabean,Kharif,345.89,27.76,1236.6,60.41,Loam,6.9,84.2,34.4,24.4,47.5,2.104
SOLAPUR,2018,Bajra,Kharif,107.12,24.94,775.3,62.83,Clay,7.17,122.9,51.4,54.8,41.9,1.758
AURANGABAD,2023,Rice,Kharif,1462.88,30.25,522.2,41.83,Clay,7.86,114.4,44.1,38.7,15.8,4.0258
CHANDRAPUR,2019,Bajra,Kharif,4887.82,29.49,771.0,58.34,Clay,7.05,128.5,42.9,25.7,17.4,1.9564
WASHIM,2001,Soyabean,Kharif,105061.58,27.43,1082.0,54.45,Sandy Loam,7.7,134.1,40.0,24.2,28.7,2.0719
SINDHUDURG,2022,Soyabean,Kharif,80789.37,24.82,2466.9,75.5,Laterite,4.78,78.2,10.2,30.1,22.7,3.0167
KOLHAPUR,2001,Soyabean,Kharif,26031.6,26.95,1283.7,67.49,Clay Loam,6.98,119.1,33.5,49.5,35.7,2.813
BULDHANA,2015,Bajra,Kharif,581.92,27.52,804.7,63.95,Clay,7.2,124.2,41.1,37.6,11.5,1.8264
PALGHAR,2005,Gram,Rabi,5915.82,24.26,2092.6,83.34,Clay Loam,5.25,86.0,25.1,46.9,27.0,1.1277
JALGAON,2018,Rice,Kharif,31479.13,28.42,543.9,65.36,Clay Loam,6.97,130.8,53.1,46.4,22.9,3.9399
AKOLA,2011,Soyabean,Kharif,33213.94,27.12,766.4,65.25,Sandy Loam,6.5,98.4,43.7,14.8,29.3,2.4982
LATUR,2007,Wheat,Rabi,1520.83,27.66,668.2,55.58,Clay,7.58,106.5,38.5,35.1,17.0,2.1988
SINDHUDURG,2006,Rice,Kharif,478.93,26.81,2479.3,82.38,Laterite,5.62,71.6,35.0,48.2,10.0,5.548
PUNE,2017,Wheat,Rabi,64.29,25.25,704.8,58.45,Clay,6.55,120.1,57.8,26.9,43.4,3.2332
AMRAVATI,2009,Gram,Rabi,12667.04,30.67,824.1,57.56,Clay,7.11,94.4,21.4,19.5,19.7,1.089
OSMANABAD,2007,Gram,Rabi,155.69,28.12,369.0,55.44,Clay Loam,7.38,96.1,31.2,33.3,15.2,0.8221
THANE,2006,Wheat,Rabi,678.57,24.73,1925.8,78.95,Clay Loam,4.82,92.2,30.2,35.5,27.9,2.2543
PALGHAR,2011,Soyabean,Kharif,4174.84,28.97,1838.8,80.09,Sandy Loam,5.19,86.0,25.0,31.4,24.1,2.9614
AHMEDNAGAR,2000,Cotton(lint),Kharif,3185.04,28.9,549.9,41.04,Clay,7.49,125.0,52.4,45.9,22.8,0.7854
AKOLA,2003,Jowar,Kharif,2678.49,29.07,813.0,55.06,Sandy Loam,8.11,108.8,44.0,26.5,22.0,2.2265
SINDHUDURG,2016,Onion,Kharif,45.69,26.39,2794.2,87.4,Laterite,5.45,109.3,11.9,38.2,13.7,21.4582
NANDURBAR,2024,Sugarcane,Whole Year,21038.1,28.31,201.4,63.01,Clay,6.88,103.6,53.2,51.7,31.9,105.6908
LATUR,2006,Cotton(lint),Kharif,509.98,28.62,493.0,45.62,Clay,7.51,119.7,42.0,33.7,24.5,0.6787
SOLAPUR,2005,Groundnut,Kharif,1193.56,23.33,861.5,72.04,Loam,7.31,87.1,40.4,23.2,51.7,1.6296
PUNE,2006,Gram,Rabi,10394.29,25.11,97.3,67.49,Loam,6.69,118.0,37.4,39.2,44.0,1.0986
NANDURBAR,2013,Onion,Kharif,6372.49,27.12,727.1,65.55,Loam,7.38,109.3,53.9,43.3,36.4,20.8405
MUMBAI,2000,Soyabean,Kharif,57980.45,26.77,2464.0,81.57,Clay Loam,5.56,86.8,22.6,32.6,38.7,2.6621
CHANDRAPUR,2003,Groundnut,Kharif,35728.37,24.18,856.7,67.88,Loam,6.6,114.7,25.2,55.0,18.2,1.2438
AURANGABAD,2007,Gram,Rabi,73.16,28.89,827.0,54.65,Clay,7.46,90.2,26.1,34.2,10.0,1.0197
THANE,2007,Bajra,Kharif,16238.71,28.05,2192.1,84.15,Sandy Loam,6.26,84.5,13.3,36.2,32.0,1.8024
KOLHAPUR,2024,Rice,Kharif,48509.57,25.78,272.9,70.53,Clay Loam,6.62,97.3,51.3,39.9,60.1,4.4038
HINGOLI,2004,Cotton(lint),Kharif,294.72,28.67,613.1,44.49,Clay,7.91,108.7,43.7,38.7,23.3,0.7224
SANGLI,2011,Gram,Rabi,135.96,24.86,448.7,49.22,Loam,7.32,118.3,38.5,24.1,49.3,1.4008
DHULE,2002,Onion,Rabi,11983.63,27.76,741.7,58.31,Clay,7.08,126.6,48.6,54.2,33.7,17.384
THANE,2007,Gram,Rabi,10572.29,28.16,1795.0,80.69,Clay Loam,5.16,80.8,33.4,29.3,35.3,0.9647
THANE,2021,Bajra,Kharif,418.3,23.0,2756.0,76.38,Laterite,5.69,72.1,11.3,37.1,24.7,2.0001
HINGOLI,2002,Sugarcane,Whole Year,882.84,29.53,414.8,60.98,Clay,7.45,111.9,39.6,37.6,26.9,94.7397
AURANGABAD,2005,Groundnut,Kharif,225.59,28.31,652.6,44.17,Clay Loam,7.6,95.9,46.0,41.7,17.4,1.8583
RATNAGIRI,2004,Jowar,Kharif,177.41,28.47,2311.3,83.53,Laterite,6.39,95.2,11.1,36.2,30.9,2.5041
AMRAVATI,2010,Soyabean,Kharif,149137.47,29.27,811.4,55.84,Loam,7.05,85.0,51.2,27.7,19.6,2.1663
RATNAGIRI,2013,Soyabean,Kharif,5793.86,27.41,2278.6,81.37,Laterite,5.15,67.8,25.5,27.2,28.1,3.5
AKOLA,2009,Gram,Rabi,29622.06,26.53,1015.3,65.37,Loam,7.16,105.4,34.8,36.2,25.2,1.0019
OSMANABAD,2020,Onion,Rabi,2825.89,29.17,514.8,34.81,Clay Loam,7.9,116.1,30.8,42.9,27.2,19.5301
KOLHAPUR,2012,Wheat,Rabi,1447.31,25.61,495.2,64.53,Clay Loam,6.47,143.7,41.2,42.4,44.8,3.1343
GADCHIROLI,2006,Rice,Kharif,1345.47,25.86,1029.8,55.89,Clay,7.51,95.8,45.3,34.1,34.9,3.7987
PALGHAR,2000,Soyabean,Kharif,5609.72,24.69,1892.1,80.76,Laterite,5.83,101.2,23.5,39.1,16.1,2.634
GADCHIROLI,2002,Onion,Kharif,11019.78,28.97,1010.4,58.43,Clay,7.13,142.2,41.5,26.5,17.6,18.1105
AURANGABAD,2007,Sugarcane,Whole Year,7850.8,27.57,808.5,59.12,Clay Loam,7.04,99.6,43.7,31.3,10.0,77.9422
AHMEDNAGAR,2011,Bajra,Kharif,91.69,27.41,798.8,44.36,Clay,7.61,130.6,45.5,47.6,30.7,1.6483
RATNAGIRI,2016,Cotton(lint),Kharif,25267.98,24.58,1863.4,76.98,Sandy Loam,4.74,73.3,22.6,37.9,15.3,0.785
BULDHANA,2002,Groundnut,Kharif,437.88,27.15,809.3,68.03,Clay,6.9,114.1,36.4,36.3,25.9,1.5847
THANE,2020,Wheat,Rabi,1205.83,25.23,3049.7,84.48,Clay Loam,5.31,53.8,14.9,36.2,18.0,2.2539
RAIGAD,2006,Onion,Rabi,80.08,28.36,2082.6,82.12,Laterite,5.15,62.3,19.1,41.0,21.3,19.5811
BULDHANA,2009,Soyabean,Kharif,1017.72,27.51,945.5,54.09,Loam,6.81,111.4,32.5,35.4,30.8,2.3543
PALGHAR,2014,Groundnut,Kharif,12262.4,27.2,2960.1,75.6,Laterite,5.61,103.9,31.8,22.0,21.4,2.4524
GADCHIROLI,2019,Soyabean,Kharif,181.12,28.34,1052.8,51.69,Clay,6.83,73.7,46.9,34.0,20.8,2.8631
GADCHIROLI,2015,Onion,Rabi,2777.21,26.74,922.3,66.1,Clay,7.56,69.7,39.0,24.2,13.7,17.5931
WASHIM,2024,Jowar,Rabi,1657.1,30.13,1116.5,56.53,Loam,8.23,83.2,28.8,26.4,30.3,2.6386
YAVATMAL,2002,Wheat,Rabi,41.88,28.25,617.8,54.87,Clay,7.22,85.0,45.3,36.7,10.0,1.4971
HINGOLI,2019,Bajra,Kharif,2616.14,28.82,322.5,44.72,Clay Loam,7.37,97.7,37.3,45.6,21.3,1.929
LATUR,2011,Bajra,Kharif,16454.71,28.45,728.5,45.33,Clay,7.18,117.2,43.0,36.2,11.0,1.5629
BEED,2005,Groundnut,Kharif,11321.35,27.4,577.8,55.53,Clay,7.23,91.7,34.2,43.3,14.3,1.2746
RAIGAD,2006,Wheat,Rabi,509.89,26.63,1808.7,85.53,Laterite,5.31,57.4,20.6,36.0,34.2,1.3614
KOLHAPUR,2024,Cotton(lint),Kharif,12131.95,25.12,959.0,50.03,Clay Loam,6.53,153.6,60.0,41.5,47.8,0.9
SATARA,2017,Bajra,Kharif,1327.4,21.35,1261.8,77.36,Clay,6.82,147.4,54.2,55.0,49.5,2.2675
SINDHUDURG,2024,Onion,Rabi,2820.97,25.42,3150.9,84.47,Laterite,5.58,70.0,32.9,44.4,37.5,26.0061
AKOLA,2022,Gram,Rabi,161.27,27.92,743.7,60.89,Clay,7.62,110.5,60.0,33.6,15.7,1.2528
SANGLI,2017,Rice,Kharif,222.7,22.72,1027.1,63.94,Loam,6.85,117.7,49.6,27.2,49.5,4.6009
THANE,2009,Groundnut,Kharif,10163.73,28.69,1835.9,74.44,Clay Loam,5.45,100.7,22.7,40.1,26.8,2.0661
DHULE,2016,Gram,Rabi,6444.78,28.58,392.8,55.4,Clay,7.17,119.4,49.5,54.2,43.3,1.4966
AURANGABAD,2020,Jowar,Kharif,329.2,26.21,451.8,44.12,Clay,8.09,130.3,33.5,42.2,21.4,2.6787
NASHIK,2015,Rice,Kharif,12509.79,27.67,644.9,55.13,Clay Loam,7.75,129.6,60.0,47.9,22.4,4.0368
NASHIK,2014,Wheat,Rabi,23.15,27.94,270.2,43.28,Clay,8.11,109.4,52.1,54.7,34.7,2.6322
WASHIM,2006,Onion,Kharif,739.61,28.98,1012.7,69.26,Clay,6.92,124.7,35.6,53.4,17.7,18.6965
NANDURBAR,2010,Jowar,Kharif,73269.04,28.92,684.1,59.23,Clay Loam,6.89,87.0,44.4,41.5,31.5,2.5067
YAVATMAL,2003,Jowar,Rabi,40290.58,30.6,1067.8,50.09,Loam,7.48,77.6,58.9,36.4,26.6,2.5057
BULDHANA,2019,Rice,Kharif,1077.57,31.02,1284.5,68.85,Loam,7.31,91.5,36.4,44.5,10.0,4.5199
OSMANABAD,2024,Sugarcane,Whole Year,1015.2,29.91,323.5,46.73,Clay,7.75,75.5,36.8,36.8,23.4,78.5634
BEED,2020,Cotton(lint),Kharif,39643.75,30.08,504.2,48.18,Clay,7.24,99.8,34.3,25.7,15.6,0.9
JALGAON,2015,Groundnut,Kharif,25867.08,27.0,449.1,49.72,Clay Loam,7.04,98.7,57.5,43.7,51.4,1.7091
PUNE,2009,Soyabean,Kharif,8145.5,26.72,747.6,52.36,Clay,6.88,104.4,21.5,43.1,29.3,2.6711
AURANGABAD,2007,Sugarcane,Whole Year,4214.99,26.73,250.7,65.55,Clay,7.39,94.8,39.5,31.0,14.3,67.2281
LATUR,2010,Gram,Rabi,3647.94,26.41,800.5,60.23,Clay,7.72,107.4,48.2,49.0,17.8,1.2995
SATARA,2021,Soyabean,Kharif,219.89,25.33,938.1,67.08,Clay Loam,6.3,139.4,59.0,28.0,70.9,2.874
JALGAON,2012,Jowar,Rabi,71850.4,27.35,593.0,55.47,Clay,6.78,77.9,53.3,42.3,22.3,2.0272
SOLAPUR,2006,Soyabean,Kharif,3856.86,22.76,1053.6,63.32,Loam,6.97,147.1,44.8,35.0,44.7,2.7542
SATARA,2006,Cotton(lint),Kharif,15017.2,24.8,583.7,70.83,Clay Loam,7.13,115.2,47.6,48.6,40.2,0.6157
SINDHUDURG,2024,Soyabean,Kharif,77063.91,24.49,2102.4,71.33,Sandy Loam,4.96,65.4,27.0,34.5,23.3,2.9076
THANE,2003,Cotton(lint),Kharif,185.37,28.57,1507.9,79.03,Laterite,5.39,76.1,13.4,49.1,15.2,0.651
GONDIA,2001,Rice,Kharif,13124.53,27.63,726.0,53.44,Clay,7.1,105.6,33.3,40.1,29.9,3.3022
AHMEDNAGAR,2005,Jowar,Rabi,645.69,29.37,920.4,55.89,Clay,7.62,134.8,53.3,44.5,29.6,2.3637
KOLHAPUR,2008,Jowar,Kharif,348.99,21.79,889.0,61.88,Clay Loam,6.87,109.5,39.7,38.1,50.7,2.4241
MUMBAI,2020,Rice,Kharif,6364.19,27.73,2033.0,78.12,Laterite,5.54,92.6,39.0,18.1,34.7,5.031
SOLAPUR,2012,Cotton(lint),Kharif,4924.28,25.61,751.9,58.33,Clay Loam,6.37,129.0,32.7,32.8,51.1,0.8722
RATNAGIRI,2015,Soyabean,Kharif,26841.55,27.42,2440.2,80.31,Laterite,5.5,83.6,32.7,33.2,14.1,3.1861
NANDURBAR,2010,Cotton(lint),Kharif,8312.59,26.93,667.9,51.52,Clay Loam,7.27,118.8,41.8,46.6,36.0,0.8906
GADCHIROLI,2005,Wheat,Rabi,763.16,26.5,694.9,53.68,Sandy Loam,6.64,104.6,50.1,38.0,42.6,2.2769
SINDHUDURG,2005,Wheat,Rabi,82.6,25.44,2771.3,80.82,Laterite,5.64,106.9,21.5,38.5,19.3,2.3072
DHULE,2023,Onion,Kharif,332.53,26.53,509.8,52.26,Clay,8.07,115.6,48.3,31.9,17.6,20.8889
PUNE,2007,Sugarcane,Whole Year,8832.42,26.38,721.3,63.42,Clay,7.26,98.9,46.5,30.4,40.8,90.225
LATUR,2004,Jowar,Kharif,741.04,32.41,646.1,51.22,Clay Loam,7.6,105.5,44.2,32.9,24.3,2.1861
WARDHA,2014,Soyabean,Kharif,108124.69,25.57,609.8,53.93,Clay,6.56,103.4,45.3,15.0,29.5,2.2398
SATARA,2008,Sugarcane,Whole Year,2415.53,27.26,504.3,54.55,Clay Loam,7.19,125.9,57.4,55.0,39.5,98.7015
NASHIK,2022,Bajra,Kharif,90.02,25.83,470.7,51.93,Clay,7.38,125.4,48.7,36.5,30.8,1.607
SATARA,2019,Bajra,Kharif,1954.44,25.66,994.4,61.06,Clay Loam,6.74,145.6,30.6,47.6,46.9,1.9847
KOLHAPUR,2018,Wheat,Rabi,2517.97,24.88,812.3,59.19,Clay Loam,5.95,97.7,42.7,37.3,54.4,2.7746
